,CVEGEO,NOMASEN,CP,geometry
10,1102000017121,"['LOMAS DE SAN FRANCISCO', 'VILLAS DE LA GLORIA DOS']",[37433],"POLYGON ((-101.763000048 21.087861935000035, -101.76299843599998 21.087861369000066, -101.76243777399998 21.08766409600005, -101.76169409899995 21.08740242500005, -101.76055284199998 21.087000851000045, -101.76054965099996 21.086999645000045, -101.75980095999995 21.086716157000062, -101.759783358 21.086709493000043, -101.75986755999998 21.086512449000058, -101.76008007499996 21.086015139000075, -101.76097912399996 21.085991945000064, -101.76103172999996 21.085990588000094, -101.761149747 21.085993091000063, -101.76127044599997 21.08600310300006, -101.76145381099997 21.086030465000068, -101.761779979 21.086103413000036, -101.76211230999996 21.08617773900006, -101.76232745999994 21.08622148100007, -101.762827912 21.08632323300004, -101.76300210899996 21.08635865100004, -101.76321331999998 21.086401581000082, -101.76343318 21.086452582000042, -101.76395397799996 21.08656616500001, -101.76405437199998 21.08658806000005, -101.76412145899997 21.086602689000074, -101.764464509 21.0866749510001, -101.76481792599998 21.086749396000084, -101.76473647799997 21.08707523500003, -101.76439803099998 21.08842920200005, -101.76386037399999 21.08819063900007, -101.76376002099994 21.08815229900008, -101.763000048 21.087861935000035))"
11,1102000014165,"['LOMAS DE LA SELVA', 'ARBOLEDAS DE LA SELVA', 'PRO. FRACCIONES DE IBARRILLA', 'PRO. LA SELVA DE IBARRILLA']",[37207],"POLYGON ((-101.62998733899997 21.175784120000078, -101.63018973799996 21.17545984300005, -101.63079659899995 21.174621140000063, -101.63103944899996 21.174303310000038, -101.631436969 21.173750851000054, -101.632159544 21.173948457000062, -101.63171295499995 21.17456498500007, -101.63148164899998 21.174880001000087, -101.63171624899996 21.17494908100002, -101.631948519 21.175014740000048, -101.63210037899995 21.17502140100007, -101.63239234899999 21.17510380100004, -101.63216496899997 21.175583710000062, -101.63194004999997 21.175544031000094, -101.63186802899997 21.175543091000083, -101.63158802999999 21.175652200000073, -101.63136808999997 21.175755519000038, -101.63125924999997 21.176000921000036, -101.63122288999995 21.176088220000075, -101.63119507999994 21.17614409100004, -101.63116551999997 21.17618722100006, -101.63105573399997 21.17623993100007, -101.63099672099997 21.176292005000064, -101.63093219899997 21.17637477000005, -101.63086465999999 21.17647218000006, -101.63041836999997 21.17612326100007, -101.63036544899995 21.176079080000026, -101.62998733899997 21.175784120000078))"
12,1102000016706,['CUMBRES DE LA GLORIA CUATRO'],[37433],"POLYGON ((-101.75998741099994 21.089654449000054, -101.76000727099995 21.08958344600008, -101.76002139199994 21.08951251400006, -101.76002242899995 21.08950730400006, -101.76008912299994 21.089172278000056, -101.76001488599996 21.088799176000066, -101.759911935 21.088456013000044, -101.75980549099997 21.088138642000075, -101.75982262499997 21.088077725000055, -101.75993794899995 21.088043160000044, -101.76005839799997 21.08768975700007, -101.76015547999998 21.08760266500012, -101.76035821 21.08752271400005, -101.76041992899997 21.08736626400003, -101.76043823899994 21.08731985100008, -101.76047511699996 21.087226368000092, -101.76048304999996 21.087203351, -101.76055284199998 21.087000851000045, -101.76169409899995 21.08740242500005, -101.76243777399998 21.08766409600005, -101.76299843599998 21.087861369000066, -101.763000048 21.087861935000035, -101.76298960499997 21.087897906000048, -101.76295373899995 21.088021450000042, -101.76293843699995 21.08812033300003, -101.76291031999995 21.08830202900006, -101.76283577999999 21.088783721000024, -101.76271183499995 21.0897348170001, -101.76205630299995 21.089654028000055, -101.76170529599995 21.08969870400008, -101.76143986599999 21.089788882000057, -101.76096528399995 21.08993903100001, -101.76077492699994 21.089991378000043, -101.76070349799994 21.089999708000104, -101.76010153699997 21.090069901000067, -101.75973510199998 21.09010797100009, -101.75982952499999 21.089870136000073, -101.75993112699996 21.089855662000055, -101.75998741099994 21.089654449000054))"
13,1102000017475,['CAÑADA DE LOS NARANJOS'],[37210],"POLYGON ((-101.62984248599997 21.164232435000017, -101.62978624599998 21.164142945000037, -101.62965805699997 21.163938963000085, -101.62959621299996 21.163794272000064, -101.62955716799998 21.163702925000052, -101.629501964 21.163154694000077, -101.62949716799994 21.16313004800005, -101.62944985399997 21.162886884000034, -101.62944973499998 21.162738922000067, -101.62952207099994 21.162577119000076, -101.62951445599998 21.162489555000032, -101.62944592699995 21.16242102800007, -101.629347136 21.16239088200009, -101.62920949399995 21.162479303000083, -101.62917731099998 21.16228783300003, -101.62916969599996 21.162216449000034, -101.62926011499997 21.162094621000076, -101.629268542 21.162062824000035, -101.62927686799998 21.162031422000034, -101.629250217 21.16190578600004, -101.62931263199994 21.16162470300005, -101.62935840999995 21.161418539000078, -101.63086402299996 21.16364180800004, -101.63037708699994 21.164250946000042, -101.63033302499997 21.164337169000085, -101.63009769899998 21.164100572000056, -101.63002203199994 21.164102714, -101.62984248599997 21.164232435000017))"
14,1102000015784,['PRO. LOMAS DE LA PAZ SEGUNDA SECCIÓN'],[37353],"POLYGON ((-101.73447081999996 21.12885277900007, -101.73571964999996 21.128692949, -101.73616948999995 21.128639450000026, -101.73658919999997 21.128594080000052, -101.73676945999995 21.129804579000055, -101.73696111999999 21.13004050900003, -101.73595536999994 21.130262110000057, -101.73552647999998 21.130326400000058, -101.73464848999998 21.130434460000057, -101.73460339999997 21.130049780000032, -101.73455761999998 21.129659260000025, -101.73451431999996 21.129259720000086, -101.73447884999996 21.12895072000003, -101.73447081999996 21.12885277900007))"
15,1102000016547,['MISIÓN LA CAÑADA '],[37128],"POLYGON ((-101.61904672499998 21.13482838700006, -101.61979431099996 21.133390436000056, -101.61849728499999 21.13278733600006, -101.61636639199997 21.13180272100006, -101.61648586399997 21.131679989000087, -101.61785001899995 21.13027860000008, -101.61826557099994 21.129851594000034, -101.62010723299994 21.130701566000052, -101.62219979699995 21.131649968, -101.624537407 21.132725335000035, -101.62422627099994 21.133138137000063, -101.62342160799996 21.134236430000062, -101.62289857699994 21.134806839000078, -101.62189789399997 21.136128322000058, -101.62189674999996 21.13612780000006, -101.61904672499998 21.13482838700006))"
16,1102000017155,['SIERRA NOGAL'],[37293],"POLYGON ((-101.60850961899996 21.13165812100005, -101.60901747899999 21.13099660100006, -101.60938104799999 21.130575144000037, -101.60952581999999 21.130407320000096, -101.60971028499995 21.13025232300003, -101.61004019999997 21.12997511000003, -101.61196729799997 21.130855796000105, -101.61182622799998 21.131134872000096, -101.61167847399997 21.13142716800009, -101.612333709 21.131721173000074, -101.61249262999996 21.13179248000006, -101.61315444899998 21.13209245100007, -101.61372305799995 21.13235015000004, -101.61514727999997 21.132986180000035, -101.61493583199996 21.133145496000047, -101.61462352599995 21.133466722000055, -101.61443911499998 21.13374992700007, -101.61407028999997 21.13431633600002, -101.61124636999995 21.13298797000004, -101.60850961899996 21.13165812100005))"
17,1102000011156,['BRISAS DEL CAMPESTRE'],[37669],"POLYGON ((-101.763722 21.181894223000022, -101.76379991699997 21.18156525700005, -101.76421836099996 21.17963292200007, -101.76436990599996 21.179668561000028, -101.76499336699999 21.177399870000055, -101.76651149899999 21.177795038000085, -101.76665633799996 21.17809516600004, -101.76672071099995 21.178255233000083, -101.76675289699996 21.17850533800003, -101.76674753199995 21.178805465000032, -101.766715348 21.179085583000084, -101.76665097399996 21.17958578800006, -101.76816758599995 21.182431775000058, -101.76656362499995 21.18316706400003, -101.76632758899996 21.182706883000055, -101.76625785299996 21.182616847000084, -101.76615592799999 21.182536816000056, -101.76577234699995 21.18236524200006, -101.76556985999997 21.18232510800007, -101.76553364299997 21.182303471000072, -101.76550144999999 21.18227183300008, -101.76548534999996 21.182230189000084, -101.763722 21.181894223000022))"
18,110200001118A,"['POLÍGONO INDUSTRIAL BICENTENARIO', 'BRISAS DEL CAMPESTRE']",[37669],"POLYGON ((-101.76421836099996 21.17963292200007, -101.76417745799995 21.17962166700005, -101.76346416899997 21.17946113500008, -101.76310126599998 21.179378998000068, -101.76197037999998 21.179124206000047, -101.75967910399999 21.17861211500007, -101.75964628499999 21.177283446000065, -101.75970023899998 21.177277978000063, -101.76019676099997 21.176932363000013, -101.76052564299994 21.176679287000102, -101.76069359199994 21.176561270000025, -101.76092301699998 21.176403066000038, -101.762056654 21.176667938000055, -101.76218539999996 21.176157718000084, -101.76373571699997 21.175112259000077, -101.76425606499998 21.17520730100004, -101.76507682199997 21.176762980000063, -101.76491530599998 21.17738332700005, -101.76499336699999 21.177399870000055, -101.76436990599996 21.179668561000028, -101.76421836099996 21.17963292200007))"
19,1102000017901,['BRISAS DEL CAMPESTRE'],[37669],"POLYGON ((-101.75971799399997 21.180783012000063, -101.76103201099994 21.18103412200006, -101.76267359699995 21.181346614000102, -101.76379991699997 21.18156525700005, -101.763722 21.181894223000022, -101.76348156399997 21.183003996000032, -101.76329208899995 21.182968317000075, -101.76323191699998 21.183250797000014, -101.76321086299998 21.183349635000106, -101.76328035499995 21.183362355000053, -101.76389788599994 21.18348236, -101.76405211199994 21.183747463, -101.76109123199996 21.18538625000006, -101.76072594899995 21.184753826000073, -101.75974962299995 21.183088186000077, -101.75971799399997 21.180783012000063))"
